Name,Country,Owner,Use,Purpose,OrbitClass,Perigee,Apogee,Period,Mass,LaunchDate,COSPAR,NORAD,Comments
Aalto-1,Finland,University of Aalto,Civil,Technology Development,LEO,497,517,94.7,5,6/23/17,2017-036L,42775,Technology development and education.
AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,442,687,95.9,1,4/25/16,2016-025E,41460,Carries AIS system.
"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35778,35793,1436.03,6330,2/6/14,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35700,35700,1436.1,1800,6/15/16,2016-038A,41588,
"ABS-3 (Agila 2, Mabuhay 1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35769,35802,1436.07,3775,8/19/97,1997-042A,24901,"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links."
ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35788,35803,1436,2000,3/2/15,2015-010A,40424,Coverage of Americas Europe and Africa.
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35780,35793,1436.1,4143,3/13/04,2004-007A,28184,Purchased by ABS in 2013.
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35777,35794,1436.08,2894,9/26/99,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35780,35791,1436.06,3500,9/4/99,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,35560,36013,1436.14,4500,5/9/98,1998-029A,25336,ELINT.
